2025-09-02 00:04:55,743 [daml.index.db.threadpool.connection.indexer-9] INFO  c.d.c.p.i.MeteringAggregator:participant=participant1 - Aggregating transaction metering for LedgerMeteringEnd(Offset(Bytes(0000000000000000a8)),2025-09-02T00:00:00Z)
2025-09-02 00:04:55,749 [daml.index.db.threadpool.connection.indexer-9] INFO  c.d.c.p.i.MeteringAggregator:participant=participant1 - Aggregating transaction metering completed up to LedgerMeteringEnd(Offset(Bytes(0000000000000000a8)),2025-09-02T00:00:00Z)
2025-09-02 00:28:21,534 [canton-env-ec-37] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=mydomain - DOM::mydomain::122060f2dea2... authenticated new token with expiry 2025-09-02T01:28:21.532435Z
2025-09-02 00:28:21,540 [canton-env-ec-103] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=mydomain - MED::mydomain::122060f2dea2... authenticated new token with expiry 2025-09-02T01:28:21.539014Z
2025-09-02 00:28:24,104 [canton-env-ec-89] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=mydomain - PAR::participant1::1220b845dcf0... authenticated new token with expiry 2025-09-02T01:28:24.102935Z
2025-09-02 00:28:41,508 [canton-env-ec-35] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=mydomain/client=topology-manager - The sequencer subscription has been terminated by the server.
2025-09-02 00:28:41,508 [canton-env-ec-65] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=mydomain/client=topology-manager - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-09-02 00:28:41,516 [canton-env-ec-65] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=mydomain/client=mediator - The sequencer subscription has been terminated by the server.
2025-09-02 00:28:41,517 [canton-env-ec-103] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=mydomain/client=mediator - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-09-02 00:28:41,561 [canton-env-ec-35] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=mydomain - DOM::mydomain::122060f2dea2... subscribes from counter=90
2025-09-02 00:28:41,569 [canton-env-ec-89] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=mydomain - MED::mydomain::122060f2dea2... subscribes from counter=596
2025-09-02 00:28:44,072 [canton-env-ec-167] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:participant=participant1/domainId=mydomain::122060f2dea2 - The sequencer subscription has been terminated by the server.
2025-09-02 00:28:44,072 [canton-env-ec-160] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:participant=participant1/domainId=mydomain::122060f2dea2 tid:c1fd759ad05b4f9874fe99f44bb59304 - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-09-02 00:28:44,125 [canton-env-ec-167] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=mydomain tid:c1fd759ad05b4f9874fe99f44bb59304 - PAR::participant1::1220b845dcf0... subscribes from counter=640
2025-09-02 01:04:55,743 [daml.index.db.threadpool.connection.indexer-6] INFO  c.d.c.p.i.MeteringAggregator:participant=participant1 - Aggregating transaction metering for LedgerMeteringEnd(Offset(Bytes(0000000000000000a8)),2025-09-02T01:00:00Z)
2025-09-02 01:04:55,746 [daml.index.db.threadpool.connection.indexer-6] INFO  c.d.c.p.i.MeteringAggregator:participant=participant1 - Aggregating transaction metering completed up to LedgerMeteringEnd(Offset(Bytes(0000000000000000a8)),2025-09-02T01:00:00Z)
2025-09-02 01:28:01,564 [canton-env-ec-41] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=mydomain - DOM::mydomain::122060f2dea2... authenticated new token with expiry 2025-09-02T02:28:01.561374Z
2025-09-02 01:28:01,566 [canton-env-ec-37] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=mydomain - MED::mydomain::122060f2dea2... authenticated new token with expiry 2025-09-02T02:28:01.565509Z
2025-09-02 01:28:04,139 [canton-env-ec-155] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=mydomain - PAR::participant1::1220b845dcf0... authenticated new token with expiry 2025-09-02T02:28:04.137419Z
2025-09-02 01:28:21,534 [canton-env-ec-36] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=mydomain/client=topology-manager - The sequencer subscription has been terminated by the server.
